P_min_pct,S_min_pct,policy,fit_method,evaluation_window,n_test_months,n_infeasible_fits,n_meets_both,pass_rate_both,pass_rate_packet,pass_rate_sensor,mean_n_links,mean_test_packet_coverage_pct,min_test_packet_coverage_pct,mean_test_worst_sensor_coverage_pct,min_test_worst_sensor_coverage_pct,mean_extra_budget_over_oracle_when_passing,max_extra_budget_over_oracle_when_passing,mean_subset_jaccard_with_test_oracle,n_reconfigurations,mean_consecutive_subset_jaccard,mean_links_changed_per_reoptimization,max_links_changed_in_one_reoptimization
90,80,expanding_window,coverage_only,all_available_policy_months,16,0,11,0.6875,0.875,0.6875,9.625,90.4105480733144,62.564525570751954,74.73869394856428,0.0,0.9090909090909091,10.0,0.5056424612539163,4,0.8972199730094467,1.4666666666666666,10
90,80,expanding_window,coverage_only,common_after_initial_window,14,0,11,0.7857142857142857,0.9285714285714286,0.7857142857142857,9.714285714285714,92.30101213917693,65.12859597225273,78.98773361667482,0.0,0.9090909090909091,10.0,0.4932617139605199,3,0.9287449392712551,1.0769230769230769,10
90,80,expanding_window,coverage_only,common_excluding_new_sensor_cold_starts,13,0,11,0.8461538461538461,1.0,0.8461538461538461,9.76923076923077,94.39119799817111,90.92120929750996,85.0637131256498,68.6696562032885,0.9090909090909091,10.0,0.5085804883375734,3,0.9228070175438597,1.1666666666666667,10
90,80,expanding_window,coverage_only,excluding_initial_observation_cold_start,15,0,11,0.7333333333333333,0.9333333333333333,0.7333333333333333,9.666666666666666,92.2669495734852,65.12859597225273,78.74675521076605,0.0,0.9090909090909091,10.0,0.5137109330298185,3,0.9338345864661655,1.0,10
90,80,expanding_window,exact,all_available_policy_months,16,0,11,0.6875,0.875,0.6875,9.0625,90.14231438440345,62.564525570751954,74.193447338471,0.0,0.09090909090909091,1.0,0.521491743550567,4,0.9256410256410257,0.8666666666666667,8
90,80,expanding_window,exact,common_after_initial_window,14,0,11,0.7857142857142857,0.9285714285714286,0.7857142857142857,9.071428571428571,91.99445935185015,65.12859597225273,78.36459463371106,0.0,0.09090909090909091,1.0,0.5113751794424064,3,0.9615384615384617,0.38461538461538464,2
90,80,expanding_window,exact,common_excluding_new_sensor_cold_starts,13,0,11,0.8461538461538461,1.0,0.8461538461538461,9.076923076923077,94.0610642272038,90.92120929750996,84.39264037476576,68.6696562032885,0.09090909090909091,1.0,0.5280872973180666,3,0.9583333333333335,0.4166666666666667,2
90,80,expanding_window,exact,excluding_initial_observation_cold_start,15,0,11,0.7333333333333333,0.9333333333333333,0.7333333333333333,9.066666666666666,91.98083363864687,65.12859597225273,78.16515882666657,0.0,0.09090909090909091,1.0,0.5306168341462459,3,0.9642857142857144,0.35714285714285715,2
90,80,expanding_window,multicover,all_available_policy_months,16,0,11,0.6875,0.875,0.6875,9.0625,90.70466803774814,65.12859597225273,74.36318008787268,0.0,0.09090909090909091,1.0,0.5287032820121056,4,0.9333333333333335,0.7333333333333333,6
90,80,expanding_window,multicover,common_after_initial_window,14,0,11,0.7857142857142857,0.9285714285714286,0.7857142857142857,9.071428571428571,91.99445935185015,65.12859597225273,78.36459463371106,0.0,0.09090909090909091,1.0,0.5113751794424064,3,0.9615384615384617,0.38461538461538464,2
