P_min_pct,S_min_pct,whole_dataset_proposed_min_links,whole_dataset_exact_min_links,all_month_static_exact_min_links,retrospective_monthly_exact_mean_links,retrospective_monthly_exact_worst_case_links,retrospective_monthly_proposed_mean_links,retrospective_monthly_proposed_worst_case_links,retrospective_monthly_multicover_mean_links,retrospective_monthly_multicover_worst_case_links,proposed_matches_exact_every_month,multicover_matches_exact_every_month
90,80,10,10,19,9.235294117647058,13.0,9.235294117647058,13.0,9.235294117647058,13.0,True,True
95,85,12,12,19,9.294117647058824,13.0,9.294117647058824,13.0,9.294117647058824,13.0,True,True
98,90,16,16,19,11.588235294117647,15.0,11.588235294117647,15.0,11.588235294117647,15.0,True,True
