test_month,P_min_pct,S_min_pct,policy,fit_method,fit_months,fit_status,n_links,selected_links,subset_hash,packet_coverage_pct,worst_sensor_coverage_pct,median_sensor_coverage_pct,n_active_sensors,meets_packet_threshold,meets_sensor_threshold,meets_both_thresholds,test_oracle_n_links,budget_minus_test_oracle,subset_jaccard_with_test_oracle,is_initial_observation_cold_start,is_before_frozen_policy_available
2024-03,90,80,previous_month,proposed,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,expanding_window,proposed,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,previous_month,multicover,2024-02,Feasible,9,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,2d610032a3e50ee7,71.56218402426694,17.333499005964214,95.73250685421385,9,False,False,False,9,0,0.5,True,True
2024-03,90,80,expanding_window,multicover,2024-02,Feasible,9,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,2d610032a3e50ee7,71.56218402426694,17.333499005964214,95.73250685421385,9,False,False,False,9,0,0.5,True,True
2024-03,90,80,previous_month,coverage_only,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,expanding_window,coverage_only,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,previous_month,exact,2024-02,Optimal,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,expanding_window,exact,2024-02,Optimal,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,90,80,retrospective_oracle,exact,2024-03,Optimal,9,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,5116df5a05fbbfe0,97.15289234207866,95.02749502749502,96.28147799482231,9,True,True,True,9,0,1.0,True,True
2024-03,95,85,previous_month,proposed,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,95,85,expanding_window,proposed,2024-02,Feasible,9,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,68aabbae95322465,62.564525570751954,14.617775015537601,95.02749502749502,9,False,False,False,9,0,0.38461538461538464,True,True
2024-03,95,85,previous_month,multicover,2024-02,Feasible,9,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,2d610032a3e50ee7,71.56218402426694,17.333499005964214,95.73250685421385,9,False,False,False,9,0,0.5,True,True
2024-03,95,85,expanding_window,multicover,2024-02,Feasible,9,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,2d610032a3e50ee7,71.56218402426694,17.333499005964214,95.73250685421385,9,False,False,False,9,0,0.5,True,True
