P_min_pct,S_min_pct,method,n_months,n_feasible_fits,n_months_meeting_both,pass_rate_both,mean_n_links,max_n_links,mean_packet_coverage_pct,min_packet_coverage_pct,mean_worst_sensor_coverage_pct,min_worst_sensor_coverage_pct
90,80,coverage_only,17,17,17,1.0,9.235294117647058,13.0,96.25192165482159,93.60929651510814,90.1732079747652,86.56627226006933
90,80,exact,17,17,17,1.0,9.235294117647058,13.0,96.25192165482159,93.60929651510814,90.1732079747652,86.56627226006933
90,80,multicover,17,17,17,1.0,9.235294117647058,13.0,96.19594299572982,93.60929651510814,89.6782235586432,85.42448005455165
90,80,proposed,17,17,17,1.0,9.235294117647058,13.0,96.25192165482159,93.60929651510814,90.1732079747652,86.56627226006933
95,85,coverage_only,17,17,17,1.0,9.294117647058824,13.0,96.33773116536292,95.0680581943107,90.36108690404564,88.28495431941714
95,85,exact,17,17,17,1.0,9.294117647058824,13.0,96.33773116536292,95.0680581943107,90.36108690404564,88.28495431941714
95,85,multicover,17,17,17,1.0,9.294117647058824,13.0,96.28175250627115,95.0680581943107,89.86610248792363,85.42448005455165
95,85,proposed,17,17,17,1.0,9.294117647058824,13.0,96.33773116536292,95.0680581943107,90.36108690404564,88.28495431941714
98,90,coverage_only,17,17,17,1.0,11.588235294117647,15.0,98.42696254909194,98.0189247616685,94.41390952607449,92.1517331589274
98,90,exact,17,17,17,1.0,11.588235294117647,15.0,98.42696254909194,98.0189247616685,94.43543171520955,92.1517331589274
98,90,multicover,17,17,17,1.0,11.588235294117647,15.0,98.26544495478282,98.0189247616685,93.75703870782633,91.5478615071283
98,90,proposed,17,17,17,1.0,11.588235294117647,15.0,98.42696254909194,98.0189247616685,94.43543171520955,92.1517331589274
