family,n_sensors,n_gateways,seed,target_q10,target_median,target_q90,realized_q10,realized_median,realized_q90
sensor_scaling,10,3,0,0.0073569259778921035,0.809962176757675,0.9468318049031517,0.013600000000000001,0.817,0.9603999999999999
sensor_scaling,10,3,1,0.03240054569898617,0.7175808592807145,0.9493392270639056,0.028000000000000008,0.725,0.9601999999999999
sensor_scaling,10,3,2,0.0073569259778921035,0.7220566365684238,0.9559894614557151,0.007600000000000002,0.725,0.9554
sensor_scaling,10,3,3,0.008580511631120535,0.8817754864298821,0.9663653225453112,0.009800000000000001,0.88,0.964
sensor_scaling,10,3,4,0.032586401302174606,0.9017114589571887,0.9663653225453112,0.03140000000000001,0.902,0.972
sensor_scaling,50,3,0,0.009215482009776425,0.8471080822253402,0.9487284091819712,0.014,0.837,0.9581999999999999
sensor_scaling,50,3,1,0.0073569259778921035,0.7704026115342764,0.9487284091819712,0.007600000000000002,0.773,0.9521999999999999
sensor_scaling,50,3,2,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.008,0.819,0.9601999999999999
sensor_scaling,50,3,3,0.009029626406587993,0.8685923847278828,0.9663653225453112,0.009800000000000001,0.875,0.964
sensor_scaling,50,3,4,0.0027990014845662107,0.7704026115342764,0.9548365880013154,0.004,0.797,0.9583999999999999
sensor_scaling,100,3,0,0.009215482009776425,0.7704026115342764,0.9487284091819712,0.013800000000000005,0.775,0.9542
sensor_scaling,100,3,1,0.009215482009776425,0.848314912103207,0.9487284091819712,0.009800000000000005,0.845,0.9542
sensor_scaling,100,3,2,0.009215482009776425,0.7704026115342764,0.9548365880013154,0.01,0.805,0.962
sensor_scaling,100,3,3,0.009215482009776425,0.8495217419810737,0.9548365880013154,0.013800000000000005,0.856,0.96
sensor_scaling,100,3,4,0.0028657782232175016,0.8471080822253402,0.9548365880013154,0.0038000000000000043,0.845,0.96
sensor_scaling,200,3,0,0.009215482009776425,0.8471080822253402,0.9548365880013154,0.01,0.841,0.958
sensor_scaling,200,3,1,0.009029626406588004,0.8471080822253402,0.9487284091819712,0.008,0.838,0.95
sensor_scaling,200,3,2,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.008,0.838,0.96
sensor_scaling,200,3,3,0.0073569259778921035,0.8495217419810737,0.9548365880013154,0.008,0.85,0.96
sensor_scaling,200,3,4,0.0073569259778921035,0.8495217419810737,0.9548365880013154,0.006,0.85,0.96
sensor_scaling,500,3,0,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.01,0.845,0.9562000000000003
sensor_scaling,500,3,1,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.007800000000000012,0.84,0.954
sensor_scaling,500,3,2,0.0073569259778921035,0.8495217419810737,0.9548365880013154,0.008,0.853,0.96
sensor_scaling,500,3,3,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.006,0.834,0.958
sensor_scaling,500,3,4,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.006,0.845,0.958
gateway_scaling,50,3,0,0.009215482009776425,0.8471080822253402,0.9487284091819712,0.014,0.837,0.9581999999999999
gateway_scaling,50,3,1,0.0073569259778921035,0.7704026115342764,0.9487284091819712,0.007600000000000002,0.773,0.9521999999999999
gateway_scaling,50,3,2,0.0073569259778921035,0.8471080822253402,0.9548365880013154,0.008,0.819,0.9601999999999999
gateway_scaling,50,3,3,0.009029626406587993,0.8685923847278828,0.9663653225453112,0.009800000000000001,0.875,0.964
gateway_scaling,50,3,4,0.0027990014845662107,0.7704026115342764,0.9548365880013154,0.004,0.797,0.9583999999999999
gateway_scaling,50,5,0,0.0028657782232175016,0.7704026115342764,0.9487284091819712,0.004,0.787,0.956
gateway_scaling,50,5,1,0.0021980108367045904,0.7220566365684238,0.9487284091819712,0.002,0.73,0.9521999999999999
gateway_scaling,50,5,2,0.0028657782232175016,0.7462296240513501,0.9487284091819712,0.004,0.741,0.956
gateway_scaling,50,5,3,0.0028657782232175016,0.8087553468798083,0.9548365880013154,0.0038000000000000043,0.812,0.956
gateway_scaling,50,5,4,0.0028657782232175016,0.7462296240513501,0.9487284091819712,0.004,0.742,0.95
gateway_scaling,50,10,0,0.0028657782232175016,0.8471080822253402,0.9548365880013154,0.004,0.82,0.956
gateway_scaling,50,10,1,0.0021980108367045904,0.7198187479245691,0.9487284091819712,0.002,0.725,0.954
gateway_scaling,50,10,2,0.0021980108367045904,0.7704026115342764,0.9493392270639057,0.002,0.746,0.952
gateway_scaling,50,10,3,0.0028657782232175016,0.7704026115342764,0.9548365880013154,0.004,0.785,0.954
gateway_scaling,50,10,4,0.0028657782232175016,0.7220566365684238,0.9548365880013154,0.002,0.746,0.954
gateway_scaling,50,20,0,0.0021980108367045904,0.7704026115342764,0.9548365880013154,0.002,0.763,0.954
gateway_scaling,50,20,1,0.0021980108367045904,0.7220566365684238,0.9493392270639057,0.002,0.732,0.954
gateway_scaling,50,20,2,0.0028657782232175016,0.7704026115342764,0.9548365880013154,0.002,0.758,0.956
gateway_scaling,50,20,3,0.0021980108367045904,0.7704026115342764,0.9487284091819712,0.002,0.784,0.954
gateway_scaling,50,20,4,0.0028657782232175016,0.7704026115342764,0.9548365880013154,0.002,0.764,0.956
